ts_utc,backend,last_update_date_iso,n_qubits,operational,status_msg,pending_jobs,dt,sx_length_med,twoq_length_med,T1_median_us,T2_median_us,readout_err_mean,sx_gate_err_median,twoq_gate_used,twoq_gate_err_median,twoq_gate_err_min,twoq_gate_err_max,basis_hash,coupling_hash,error
2025-10-28T17:30:45Z,ibm_marrakesh,2025-10-28T12:25:39-04:00,156,True,active,1028,4e-09,36.0,68.0,176158931.41,102394960.71,0.029312,0.000315,cz,0.002494,0.001007,1,80b2e5e07447,538ed100f694,
2025-10-28T17:35:46Z,ibm_marrakesh,2025-10-28T13:18:43-04:00,156,True,active,1025,4e-09,36.0,68.0,176158931.41,102394960.71,0.029312,0.000315,cz,0.002494,0.001007,1,80b2e5e07447,538ed100f694,
2025-10-28T17:40:45Z,ibm_marrakesh,2025-10-28T13:18:43-04:00,156,True,active,1022,4e-09,36.0,68.0,176158931.41,102394960.71,0.029312,0.000315,cz,0.002494,0.001007,1,80b2e5e07447,538ed100f694,
2025-10-28T17:45:44Z,ibm_marrakesh,2025-10-28T13:18:43-04:00,156,True,active,1022,4e-09,36.0,68.0,176158931.41,102394960.71,0.029312,0.000315,cz,0.002494,0.001007,1,80b2e5e07447,538ed100f694,
2025-10-28T17:50:45Z,ibm_marrakesh,2025-10-28T13:18:43-04:00,156,True,active,1019,4e-09,36.0,68.0,176158931.41,102394960.71,0.029312,0.000315,cz,0.002494,0.001007,1,80b2e5e07447,538ed100f694,
2025-10-28T17:55:44Z,ibm_marrakesh,2025-10-28T13:18:43-04:00,156,True,active,1019,4e-09,36.0,68.0,176158931.41,102394960.71,0.029312,0.000315,cz,0.002494,0.001007,1,80b2e5e07447,538ed100f694,
2025-10-28T18:00:45Z,ibm_marrakesh,2025-10-28T13:18:43-04:00,156,True,active,1015,4e-09,36.0,68.0,176158931.41,102394960.71,0.029312,0.000315,cz,0.002494,0.001007,1,80b2e5e07447,538ed100f694,
2025-10-28T18:05:45Z,ibm_marrakesh,2025-10-28T13:54:49-04:00,156,True,active,1014,4e-09,36.0,68.0,176158931.41,102394960.71,0.029312,0.000315,cz,0.002494,0.001007,1,80b2e5e07447,538ed100f694,
2025-10-28T18:10:45Z,ibm_marrakesh,2025-10-28T13:54:49-04:00,156,True,active,1012,4e-09,36.0,68.0,176158931.41,102394960.71,0.029312,0.000315,cz,0.002494,0.001007,1,80b2e5e07447,538ed100f694,
2025-10-28T18:15:45Z,ibm_marrakesh,2025-10-28T13:54:49-04:00,156,True,active,1006,4e-09,36.0,68.0,176158931.41,102394960.71,0.029312,0.000315,cz,0.002494,0.001007,1,80b2e5e07447,538ed100f694,
2025-10-28T18:20:46Z,ibm_marrakesh,2025-10-28T13:54:49-04:00,156,True,active,1004,4e-09,36.0,68.0,176158931.41,102394960.71,0.029312,0.000315,cz,0.002494,0.001007,1,80b2e5e07447,538ed100f694,
2025-10-28T18:25:45Z,ibm_marrakesh,2025-10-28T13:54:49-04:00,156,True,active,1000,4e-09,36.0,68.0,176158931.41,102394960.71,0.029312,0.000315,cz,0.002494,0.001007,1,80b2e5e07447,538ed100f694,
2025-10-28T18:30:46Z,ibm_marrakesh,2025-10-28T13:54:49-04:00,156,True,active,999,4e-09,36.0,68.0,176158931.41,102394960.71,0.029312,0.000315,cz,0.002494,0.001007,1,80b2e5e07447,538ed100f694,
2025-10-28T18:35:45Z,ibm_marrakesh,2025-10-28T13:54:49-04:00,156,True,active,996,4e-09,36.0,68.0,176158931.41,102394960.71,0.029312,0.000315,cz,0.002494,0.001007,1,80b2e5e07447,538ed100f694,
2025-10-28T18:40:46Z,ibm_marrakesh,2025-10-28T13:54:49-04:00,156,True,active,992,4e-09,36.0,68.0,176158931.41,102394960.71,0.029312,0.000315,cz,0.002494,0.001007,1,80b2e5e07447,538ed100f694,
2025-10-28T18:45:45Z,ibm_marrakesh,2025-10-28T13:54:49-04:00,156,True,active,988,4e-09,36.0,68.0,176158931.41,102394960.71,0.029312,0.000315,cz,0.002494,0.001007,1,80b2e5e07447,538ed100f694,
2025-10-28T18:50:45Z,ibm_marrakesh,2025-10-28T13:54:49-04:00,156,True,active,986,4e-09,36.0,68.0,176158931.41,102394960.71,0.029312,0.000315,cz,0.002494,0.001007,1,80b2e5e07447,538ed100f694,
2025-10-28T18:55:45Z,ibm_marrakesh,2025-10-28T14:43:52-04:00,156,True,active,983,4e-09,36.0,68.0,176158931.41,102394960.71,0.028392,0.000315,cz,0.002494,0.001007,1,80b2e5e07447,538ed100f694,
2025-10-28T19:00:45Z,ibm_marrakesh,2025-10-28T14:43:52-04:00,156,True,active,982,4e-09,36.0,68.0,176158931.41,102394960.71,0.028392,0.000315,cz,0.002494,0.001007,1,80b2e5e07447,538ed100f694,
2025-10-28T19:05:45Z,ibm_marrakesh,2025-10-28T14:43:52-04:00,156,True,active,981,4e-09,36.0,68.0,176158931.41,102394960.71,0.028392,0.000315,cz,0.002494,0.001007,1,80b2e5e07447,538ed100f694,
2025-10-28T19:10:45Z,ibm_marrakesh,2025-10-28T14:43:52-04:00,156,True,active,975,4e-09,36.0,68.0,176158931.41,102394960.71,0.028392,0.000315,cz,0.002494,0.001007,1,80b2e5e07447,538ed100f694,
2025-10-28T19:15:45Z,ibm_marrakesh,2025-10-28T14:43:52-04:00,156,True,active,972,4e-09,36.0,68.0,176158931.41,102394960.71,0.028392,0.000315,cz,0.002494,0.001007,1,80b2e5e07447,538ed100f694,
2025-10-28T19:20:44Z,ibm_marrakesh,2025-10-28T14:43:52-04:00,156,True,active,970,4e-09,36.0,68.0,176158931.41,102394960.71,0.028392,0.000315,cz,0.002494,0.001007,1,80b2e5e07447,538ed100f694,
